low_q,high_q,mid_q,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.01,0.7,0.4,851,714,137,0.16850200543411373,1.459921357507928,0.16850200543411373
0.01,0.7,0.45,851,714,137,0.11802702549332267,1.349309382319907,0.11802702549332267
0.01,0.7,0.5,853,716,137,0.05664343907983429,1.513621026895066,0.05664343907983429
0.01,0.7,0.55,854,717,137,0.16215230807185574,1.2881891375601626,0.16215230807185574
0.01,0.7,0.6,861,724,137,0.14860476680794577,1.3433440371479604,0.14860476680794577
0.01,0.8,0.4,681,573,108,0.20664759904641813,1.4053129542715064,0.20664759904641813
0.01,0.8,0.45,681,573,108,0.1725430280712377,1.3888173445420469,0.1725430280712377
0.01,0.8,0.5,682,574,108,0.13981862181334762,1.36868854630972,0.13981862181334762
0.01,0.8,0.55,683,575,108,0.1993326477684232,1.2795164645207482,0.1993326477684232
0.01,0.8,0.6,683,575,108,0.17574670767931896,1.3555020713191632,0.17574670767931896
0.01,0.9,0.4,482,402,80,0.3195679824222146,1.9211042399030642,0.3195679824222146
0.01,0.9,0.45,482,402,80,0.2660349719474267,2.0597827526718597,0.2660349719474267
0.01,0.9,0.5,482,402,80,0.2987445013819326,2.103503029913168,0.2987445013819326
0.01,0.9,0.55,482,402,80,0.37781043578171136,2.1908411375213626,0.37781043578171136
0.01,0.9,0.6,482,402,80,0.31226503776478387,2.1456340313860585,0.31226503776478387
0.01,0.92,0.4,446,372,74,0.601715636297311,1.700367478931637,0.601715636297311
0.01,0.92,0.45,446,372,74,0.5661254074764052,1.8093725998704648,0.5661254074764052
0.01,0.92,0.5,446,372,74,0.5625472383632102,1.8409605150154749,0.5625472383632102
0.01,0.92,0.55,446,372,74,0.6341231142707735,1.9607270098761855,0.6341231142707735
0.01,0.92,0.6,446,372,74,0.551834886608469,1.8825583484546824,0.551834886608469
0.01,0.95,0.4,393,330,63,0.26613779227656237,1.3294849330335226,0.26613779227656237
0.01,0.95,0.45,393,330,63,0.2340494724958589,1.4893581527157855,0.2340494724958589
0.01,0.95,0.5,393,330,63,0.2271047053685314,1.5014294244798878,0.2271047053685314
0.01,0.95,0.55,393,330,63,0.29359188562528327,1.5713425114750221,0.29359188562528327
0.01,0.95,0.6,393,330,63,0.24840185161245185,1.5333612350159576,0.24840185161245185
0.01,0.975,0.4,355,295,60,0.2676459528693967,1.2321080578546733,0.2676459528693967
0.01,0.975,0.45,355,295,60,0.2562650188540412,1.3865828232412285,0.2562650188540412
0.01,0.975,0.5,355,295,60,0.2224365494887933,1.4083792998833258,0.2224365494887933
0.01,0.975,0.55,355,295,60,0.2770594887766908,1.4643049769437946,0.2770594887766908
0.01,0.975,0.6,355,295,60,0.2565037865578992,1.4204501065730544,0.2565037865578992
0.01,0.99,0.4,329,271,58,0.22865295158553764,0.827087551968979,0.22865295158553764
0.01,0.99,0.45,329,271,58,0.21508825985398572,0.9738262421267843,0.21508825985398572
0.01,0.99,0.5,329,271,58,0.18697007627665116,0.9977639052685726,0.18697007627665116
0.01,0.99,0.55,329,271,58,0.2447630285670441,1.067833048338752,0.2447630285670441
0.01,0.99,0.6,329,271,58,0.21875085400320024,1.050714238827917,0.21875085400320024
0.025,0.7,0.4,875,736,139,0.14010868989271386,1.6695424465881725,0.14010868989271386
0.025,0.7,0.45,875,736,139,0.09700970943696093,1.5598759761891605,0.09700970943696093
0.025,0.7,0.5,877,738,139,0.032702408776767236,1.7356292713845738,0.032702408776767236
0.025,0.7,0.55,878,739,139,0.14716553755773862,1.5212601188664074,0.14716553755773862
0.025,0.7,0.6,885,746,139,0.13462412273875513,1.5658550863339609,0.13462412273875513
0.025,0.8,0.4,705,595,110,0.18044369175076394,1.6178695254344226,0.18044369175076394
0.025,0.8,0.45,705,595,110,0.1521976343420589,1.5995326822372824,0.1521976343420589
0.025,0.8,0.5,706,596,110,0.11573106208766369,1.5920898059824455,0.11573106208766369
0.025,0.8,0.55,707,597,110,0.1841764738525173,1.5077653129158626,0.1841764738525173
0.025,0.8,0.6,707,597,110,0.16170135223077972,1.5694290049550246,0.16170135223077972
0.025,0.9,0.4,506,424,82,0.28711651300095026,2.2423085146087796,0.28711651300095026
0.025,0.9,0.45,506,424,82,0.23929015483686603,2.3771547225094567,0.23929015483686603
0.025,0.9,0.5,506,424,82,0.2692540054393741,2.4181807442415884,0.2692540054393741
0.025,0.9,0.55,506,424,82,0.36298721092005926,2.52503237770223,0.36298721092005926
0.025,0.9,0.6,506,424,82,0.2971977002111778,2.494646687904833,0.2971977002111778
0.025,0.92,0.4,470,394,76,0.5645307983078551,2.060033002099718,0.5645307983078551
0.025,0.92,0.45,470,394,76,0.534735121628083,2.1629526772672096,0.534735121628083
0.025,0.92,0.5,470,394,76,0.5269570872397481,2.192283737353895,0.5269570872397481
0.025,0.92,0.55,470,394,76,0.6190391211863792,2.317300719980372,0.6190391211863792
0.025,0.92,0.6,470,394,76,0.5364208706341071,2.257177437260514,0.5364208706341071
0.025,0.95,0.4,417,352,65,0.23328248604358887,1.7172052436972984,0.23328248604358887
0.025,0.95,0.45,417,352,65,0.2065750745123208,1.8662426949563755,0.2065750745123208
0.025,0.95,0.5,417,352,65,0.1956040713516545,1.8797013812761145,0.1956040713516545
0.025,0.95,0.55,417,352,65,0.27653333451341805,1.9570748305651515,0.27653333451341805
0.025,0.95,0.6,417,352,65,0.23154726234980288,1.9324104014780652,0.23154726234980288
0.025,0.975,0.4,379,317,62,0.2338481091202588,1.634241409056614,0.2338481091202588
0.025,0.975,0.45,379,317,62,0.2274638278266332,1.7802616678064256,0.2274638278266332
0.025,0.975,0.5,379,317,62,0.18925485742674028,1.8036783130975722,0.18925485742674028
0.025,0.975,0.55,379,317,62,0.2594694877467589,1.8692855341317491,0.2594694877467589
0.025,0.975,0.6,379,317,62,0.23926962474904467,1.8360670860307482,0.23926962474904467
0.025,0.99,0.4,353,293,60,0.1980259241552051,1.2456413273567282,0.1980259241552051
0.025,0.99,0.45,353,293,60,0.18880378704273923,1.3861529350832078,0.18880378704273923
0.025,0.99,0.5,353,293,60,0.15648376457783683,1.4122886839446651,0.15648376457783683
0.025,0.99,0.55,353,293,60,0.22821768362704933,1.4923001616714082,0.22821768362704933
0.025,0.99,0.6,353,293,60,0.2021695174700494,1.4841800427905947,0.2021695174700494
0.05,0.7,0.4,917,774,143,0.25825843781027696,1.5773315032668862,0.25825843781027696
0.05,0.7,0.45,917,774,143,0.21289959002696626,1.4670727732724786,0.21289959002696626
0.05,0.7,0.5,919,776,143,0.1614683228574164,1.6554160408806957,0.1614683228574164
0.05,0.7,0.55,920,777,143,0.25651490114512376,1.4380708589470106,0.25651490114512376
0.05,0.7,0.6,927,784,143,0.2473212523283288,1.4921263093118735,0.2473212523283288
0.05,0.8,0.4,747,633,114,0.287514637460715,1.5240103875851168,0.287514637460715
0.05,0.8,0.45,747,633,114,0.25866716878247714,1.50644038052578,0.25866716878247714
0.05,0.8,0.5,748,634,114,0.2332318610825685,1.5112563902511276,0.2332318610825685
0.05,0.8,0.55,749,635,114,0.29111446849168826,1.4265023393493383,0.29111446849168826
0.05,0.8,0.6,749,635,114,0.27084319954121805,1.4986486808357387,0.27084319954121805
0.05,0.9,0.4,548,462,86,0.40183669110799725,2.0881134464060733,0.40183669110799725
0.05,0.9,0.45,548,462,86,0.35744925048624715,2.2228859302219988,0.35744925048624715
0.05,0.9,0.5,548,462,86,0.3862146317333715,2.2919738662038505,0.3862146317333715
0.05,0.9,0.55,548,462,86,0.4634272566587726,2.390601905585575,0.4634272566587726
0.05,0.9,0.6,548,462,86,0.4107089852352078,2.3625832049690847,0.4107089852352078
0.05,0.92,0.4,512,432,80,0.6673700932263841,1.8859640708218839,0.6673700932263841
0.05,0.92,0.45,512,432,80,0.6385435974982007,1.9900642023555353,0.6385435974982007
0.05,0.92,0.5,512,432,80,0.637299163438184,2.050549387750529,0.637299163438184
0.05,0.92,0.55,512,432,80,0.7108202208484483,2.1739026120246927,0.7108202208484483
0.05,0.92,0.6,512,432,80,0.6435654122772374,2.115865608419169,0.6435654122772374
0.05,0.95,0.4,459,390,69,0.3541240087452389,1.5324349256262044,0.3541240087452389
0.05,0.95,0.45,459,390,69,0.3305019474044426,1.684516883610572,0.3305019474044426
0.05,0.95,0.5,459,390,69,0.326514416774339,1.7298808305147233,0.326514416774339
0.05,0.95,0.55,459,390,69,0.39119050309885145,1.805240926693133,0.39119050309885145
0.05,0.95,0.6,459,390,69,0.35722747025497353,1.7853328678337208,0.35722747025497353
0.05,0.975,0.4,421,355,66,0.3575735310291107,1.4426747004461178,0.3575735310291107
0.05,0.975,0.45,421,355,66,0.353554582863449,1.5902503193800153,0.353554582863449
0.05,0.975,0.5,421,355,66,0.3261684841037786,1.6469514885852143,0.3261684841037786
0.05,0.975,0.55,421,355,66,0.37876652382624376,1.7096636848949835,0.37876652382624376
0.05,0.975,0.6,421,355,66,0.3681171380130798,1.6831915952187417,0.3681171380130798
0.05,0.99,0.4,395,331,64,0.3157251916035616,1.0504475696935567,0.3157251916035616
0.05,0.99,0.45,395,331,64,0.3103060849574235,1.1913176666276644,0.3103060849574235
0.05,0.99,0.5,395,331,64,0.2884409564501671,1.2524186651302271,0.2884409564501671
0.05,0.99,0.55,395,331,64,0.34258839424621207,1.3294261445288325,0.34258839424621207
0.05,0.99,0.6,395,331,64,0.32745334765723627,1.328837062013774,0.32745334765723627
0.08,0.7,0.4,963,813,150,0.11344470676966655,1.7343734070238666,0.11344470676966655
0.08,0.7,0.45,963,813,150,0.0717795949151164,1.606530632938458,0.0717795949151164
0.08,0.7,0.5,965,815,150,0.029811045362178594,1.7762169656234488,0.029811045362178594
0.08,0.7,0.55,966,816,150,0.1351532188873287,1.5819906679817428,0.1351532188873287
0.08,0.7,0.6,973,823,150,0.13087653713458888,1.644674361087991,0.13087653713458888
0.08,0.8,0.4,793,672,121,0.15882844309698702,1.6768069842130864,0.15882844309698702
0.08,0.8,0.45,793,672,121,0.13146741240610346,1.6383264795849324,0.13146741240610346
0.08,0.8,0.5,794,673,121,0.11198760689805946,1.6277795438239617,0.11198760689805946
0.08,0.8,0.55,795,674,121,0.1693958320575307,1.556236826386943,0.1693958320575307
0.08,0.8,0.6,795,674,121,0.15805333385993903,1.6406529140444475,0.15805333385993903
0.08,0.9,0.4,594,501,93,0.24475296400825872,2.273306640273085,0.24475296400825872
0.08,0.9,0.45,594,501,93,0.19469436010651592,2.365489297970262,0.19469436010651592
0.08,0.9,0.5,594,501,93,0.2415513941898638,2.404920033240266,0.2415513941898638
0.08,0.9,0.55,594,501,93,0.32723564111124775,2.516500841970954,0.32723564111124775
0.08,0.9,0.6,594,501,93,0.27363999531065947,2.519047470845539,0.27363999531065947
0.08,0.92,0.4,558,471,87,0.4921014914631264,2.0845419387428787,0.4921014914631264
0.08,0.92,0.45,558,471,87,0.45566388675030023,2.142524352367754,0.45566388675030023
0.08,0.92,0.5,558,471,87,0.4694687034146723,2.1710399782818617,0.4694687034146723
0.08,0.92,0.55,558,471,87,0.5575156894301008,2.3087611041385445,0.5575156894301008
0.08,0.92,0.6,558,471,87,0.4889022493633917,2.2847010039000257,0.4889022493633917
0.08,0.95,0.4,505,429,76,0.19537193693855143,1.7593782512275933,0.19537193693855143
0.08,0.95,0.45,505,429,76,0.16405205404592968,1.8593617953641703,0.16405205404592968
0.08,0.95,0.5,505,429,76,0.173056638335569,1.8719793333287718,0.173056638335569
0.08,0.95,0.55,505,429,76,0.24421812366449858,1.965136089375584,0.24421812366449858
0.08,0.95,0.6,505,429,76,0.2115870091160798,1.979001117967782,0.2115870091160798
0.08,0.975,0.4,467,394,73,0.1940512554925595,1.6807327836271952,0.1940512554925595
0.08,0.975,0.45,467,394,73,0.17970330101093449,1.7754140550164064,0.17970330101093449
0.08,0.975,0.5,467,394,73,0.16508081584279116,1.797405543292009,0.16508081584279116
0.08,0.975,0.55,467,394,73,0.2273682205775754,1.8795386336810196,0.2273682205775754
0.08,0.975,0.6,467,394,73,0.21683886795971896,1.8880331271595587,0.21683886795971896
0.08,0.99,0.4,441,370,71,0.16721169922880702,1.3192789621535361,0.16721169922880702
0.08,0.99,0.45,441,370,71,0.15081559556411797,1.407684643445937,0.15081559556411797
0.08,0.99,0.5,441,370,71,0.140414607716483,1.4324125682573388,0.140414607716483
0.08,0.99,0.55,441,370,71,0.20301592150275935,1.5276284253611898,0.20301592150275935
0.08,0.99,0.6,441,370,71,0.18628824117020354,1.5609372057333712,0.18628824117020354
0.1,0.7,0.4,1003,844,159,0.19932892406638106,1.598957440592399,0.19932892406638106
0.1,0.7,0.45,1003,844,159,0.1550479170270887,1.4702225154532738,0.1550479170270887
0.1,0.7,0.5,1005,846,159,0.10107334540884681,1.6222985945812043,0.10107334540884681
0.1,0.7,0.55,1006,847,159,0.20531431859001753,1.433167561894971,0.20531431859001753
0.1,0.7,0.6,1013,854,159,0.20590425218814376,1.5307504945676882,0.20590425218814376
0.1,0.8,0.4,833,703,130,0.23434723455999182,1.5402917123899358,0.23434723455999182
0.1,0.8,0.45,833,703,130,0.20636596354642045,1.50303118703657,0.20636596354642045
0.1,0.8,0.5,834,704,130,0.17898892012233356,1.4738353048715056,0.17898892012233356
0.1,0.8,0.55,835,705,130,0.239874193429775,1.417082874086316,0.239874193429775
0.1,0.8,0.6,835,705,130,0.23114510539134978,1.5348589358970202,0.23114510539134978
0.1,0.9,0.4,634,532,102,0.33098611509478976,2.0467242114968305,0.33098611509478976
0.1,0.9,0.45,634,532,102,0.287058253434984,2.1407292197138146,0.287058253434984
0.1,0.9,0.5,634,532,102,0.31710765165090504,2.1666500131182342,0.31710765165090504
0.1,0.9,0.55,634,532,102,0.4002802981746388,2.282434902528856,0.4002802981746388
0.1,0.9,0.6,634,532,102,0.3565332729148053,2.3205930484818156,0.3565332729148053
0.1,0.92,0.4,598,502,96,0.5765095739403827,1.8388767293133625,0.5765095739403827
0.1,0.92,0.45,598,502,96,0.54858798183598,1.9003746538452335,0.54858798183598
0.1,0.92,0.5,598,502,96,0.549631748293256,1.9138970576411658,0.549631748293256
0.1,0.92,0.55,598,502,96,0.6314100208407125,2.064961344840104,0.6314100208407125
0.1,0.92,0.6,598,502,96,0.5729443381750835,2.077307987423412,0.5729443381750835
0.1,0.95,0.4,545,460,85,0.2844119946795744,1.5019997985927476,0.2844119946795744
0.1,0.95,0.45,545,460,85,0.2591280854046175,1.6074344370313254,0.2591280854046175
0.1,0.95,0.5,545,460,85,0.2546197594587895,1.602394647413698,0.2546197594587895
0.1,0.95,0.55,545,460,85,0.32474876022555205,1.7104525396688917,0.32474876022555205
