low_q,high_q,mid_q,adx_threshold,max_loss_pct_of_cap,beta_window,pct_lookback,max_hold_bars,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.3,0.92,0.55,15.0,0.01,100,750,150,902,774,128,0.4822306874588654,-0.2877559576980697,-0.2877559576980697
0.3,0.92,0.55,15.0,0.01,100,750,300,868,743,125,0.18520603459746357,-0.4948292660935266,-0.4948292660935266
0.3,0.92,0.55,15.0,0.01,100,1500,150,837,711,126,-0.41542837573806735,-0.36567157045298176,-0.41542837573806735
0.3,0.92,0.55,15.0,0.01,100,1500,300,796,675,121,-0.2262038176593402,-0.04947234080642981,-0.2262038176593402
0.3,0.92,0.55,15.0,0.01,100,2500,150,793,669,124,0.07489287087263125,-0.2953447018577178,-0.2953447018577178
0.3,0.92,0.55,15.0,0.01,100,2500,300,751,632,119,-0.7067842039107795,-0.08865841543857168,-0.7067842039107795
0.3,0.92,0.55,15.0,0.01,200,750,150,763,653,110,-0.07791154533175802,1.0575024670984619,-0.07791154533175802
0.3,0.92,0.55,15.0,0.01,200,750,300,694,588,106,-0.03451844190993197,0.9525789750979793,-0.03451844190993197
0.3,0.92,0.55,15.0,0.01,200,1500,150,693,583,110,0.21724533444108193,0.8134895732630616,0.21724533444108193
0.3,0.92,0.55,15.0,0.01,200,1500,300,621,519,102,0.2056587918661316,1.2249923147563189,0.2056587918661316
0.3,0.92,0.55,15.0,0.01,200,2500,150,675,571,104,0.05143043467924492,0.8447031449275335,0.05143043467924492
0.3,0.92,0.55,15.0,0.01,200,2500,300,604,508,96,0.011247633360772906,1.364069310246574,0.011247633360772906
0.3,0.92,0.55,15.0,0.01,400,750,150,676,577,99,0.14128027720612857,0.3979859413401114,0.14128027720612857
0.3,0.92,0.55,15.0,0.01,400,750,300,580,502,78,0.446907253235261,1.0881468725289463,0.446907253235261
0.3,0.92,0.55,15.0,0.01,400,1500,150,592,506,86,0.5079305951794814,1.1312810427601394,0.5079305951794814
0.3,0.92,0.55,15.0,0.01,400,1500,300,493,427,66,0.7254038773624766,1.7664848295867037,0.7254038773624766
0.3,0.92,0.55,15.0,0.01,400,2500,150,568,488,80,0.3327046399060661,0.4361647372752893,0.3327046399060661
0.3,0.92,0.55,15.0,0.01,400,2500,300,471,409,62,0.5994488175217477,0.86963110165836,0.5994488175217477
0.3,0.92,0.55,15.0,0.01,500,750,150,704,596,108,0.24773932734856755,1.6622047666495146,0.24773932734856755
0.3,0.92,0.55,15.0,0.01,500,750,300,583,505,78,0.5147139751045338,2.099836943149384,0.5147139751045338
0.3,0.92,0.55,15.0,0.01,500,1500,150,603,513,90,0.2809195830608483,2.0075264213499984,0.2809195830608483
0.3,0.92,0.55,15.0,0.01,500,1500,300,496,427,69,0.4007982610996568,2.0791572532023035,0.4007982610996568
