low_q,high_q,mid_q,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.01,0.7,0.4,764,649,115,0.6355829591258582,0.7669219104924511,0.6355829591258582
0.01,0.7,0.45,776,658,118,0.5984342457191556,0.9937085535632061,0.5984342457191556
0.01,0.7,0.5,788,668,120,0.38504508752207933,1.1968333526078523,0.38504508752207933
0.01,0.7,0.55,804,681,123,0.5016010214634148,1.1730187464117097,0.5016010214634148
0.01,0.7,0.6,826,699,127,0.45909514740003676,0.9736909327939103,0.45909514740003676
0.01,0.8,0.4,640,539,101,0.6495379128630192,-0.014032417919248088,-0.014032417919248088
0.01,0.8,0.45,647,544,103,0.6033619147996312,0.26954086821409695,0.26954086821409695
0.01,0.8,0.5,658,553,105,0.4435187049559036,0.6184256676258243,0.4435187049559036
0.01,0.8,0.55,665,559,106,0.6270974672005086,0.5294791030090097,0.5294791030090097
0.01,0.8,0.6,673,566,107,0.5639937174855094,0.7838601955297007,0.5639937174855094
0.01,0.9,0.4,486,409,77,0.4991519622246354,0.6947152208922249,0.4991519622246354
0.01,0.9,0.45,489,411,78,0.586100649124088,1.020114735740771,0.586100649124088
0.01,0.9,0.5,492,413,79,0.3880503154083979,1.2314043338945544,0.3880503154083979
0.01,0.9,0.55,495,416,79,0.3953566529355597,1.2509181307269217,0.3953566529355597
0.01,0.9,0.6,494,415,79,0.3830256718182525,1.4439676408985451,0.3830256718182525
0.01,0.92,0.4,456,380,76,0.42357013019470824,0.5463694936982979,0.42357013019470824
0.01,0.92,0.45,460,383,77,0.4512898546251356,0.8675958259960617,0.4512898546251356
0.01,0.92,0.5,461,383,78,0.2536430182986296,1.0717223017679522,0.2536430182986296
0.01,0.92,0.55,462,384,78,0.33193292517818734,1.0940143957079147,0.33193292517818734
0.01,0.92,0.6,462,384,78,0.2938504005034819,1.2934590151525491,0.2938504005034819
0.01,0.95,0.4,399,332,67,0.4041194332099859,-0.13999475448190182,-0.13999475448190182
0.01,0.95,0.45,400,332,68,0.4872515106464507,0.27399946534282266,0.27399946534282266
0.01,0.95,0.5,402,333,69,0.2660555928991186,0.5447192311383007,0.2660555928991186
0.01,0.95,0.55,403,334,69,0.3573141482969827,0.4247415308849406,0.3573141482969827
0.01,0.95,0.6,404,335,69,0.3498050293893828,0.720026326990323,0.3498050293893828
0.01,0.975,0.4,343,288,55,0.3044896253814354,-0.005436351061661613,-0.005436351061661613
0.01,0.975,0.45,342,287,55,0.3805569309224971,0.44225784501608983,0.3805569309224971
0.01,0.975,0.5,345,289,56,0.16382308036588936,0.6620934300743028,0.16382308036588936
0.01,0.975,0.55,345,289,56,0.1950553270811663,0.5525046305781034,0.1950553270811663
0.01,0.975,0.6,346,290,56,0.09074226476685242,0.686956607620673,0.09074226476685242
0.01,0.99,0.4,311,262,49,0.29860247835827924,-0.10134235493484252,-0.10134235493484252
0.01,0.99,0.45,310,261,49,0.39469734216579944,0.33175615877349723,0.33175615877349723
0.01,0.99,0.5,313,263,50,0.19494609319093165,0.6472070746433726,0.19494609319093165
0.01,0.99,0.55,313,263,50,0.22402303811190394,0.7589917403654021,0.22402303811190394
0.01,0.99,0.6,313,263,50,0.09480590407560302,0.9148652302778282,0.09480590407560302
0.025,0.7,0.4,798,676,122,0.5336241554470424,0.7852059460618497,0.5336241554470424
0.025,0.7,0.45,810,685,125,0.5135799233410193,1.0279047816899847,0.5135799233410193
0.025,0.7,0.5,822,695,127,0.31810784714788676,1.2522785360965218,0.31810784714788676
0.025,0.7,0.55,837,707,130,0.4381745587087537,1.2357418127859547,0.4381745587087537
0.025,0.7,0.6,859,725,134,0.3651357837622627,1.0125267607941841,0.3651357837622627
0.025,0.8,0.4,674,566,108,0.5483334497974061,0.03037939512266137,0.03037939512266137
0.025,0.8,0.45,681,571,110,0.5185077145040946,0.32718840905240165,0.32718840905240165
0.025,0.8,0.5,692,580,112,0.3755224544718625,0.6955900648324497,0.3755224544718625
0.025,0.8,0.55,698,585,113,0.5606697681957405,0.6141071855504663,0.5606697681957405
0.025,0.8,0.6,706,592,114,0.4681661399035267,0.8344069329289663,0.4681661399035267
0.025,0.9,0.4,520,436,84,0.3718362715838845,0.7265868235034013,0.3718362715838845
0.025,0.9,0.45,523,438,85,0.48380524566010763,1.0672195274683858,0.48380524566010763
0.025,0.9,0.5,526,440,86,0.3064554059238033,1.3016666446833614,0.3064554059238033
0.025,0.9,0.55,528,442,86,0.3213749354029999,1.3295611294510867,0.3213749354029999
0.025,0.9,0.6,527,441,86,0.2725827809269136,1.487395366793089,0.2725827809269136
0.025,0.92,0.4,490,407,83,0.2918882396904187,0.5819010253427036,0.2918882396904187
0.025,0.92,0.45,494,410,84,0.3488975469986306,0.9176790822574086,0.3488975469986306
0.025,0.92,0.5,495,410,85,0.17436248428496348,1.1471080022777218,0.17436248428496348
0.025,0.92,0.55,495,410,85,0.2572508944396308,1.1763417494521904,0.2572508944396308
0.025,0.92,0.6,495,410,85,0.1830662020216289,1.3419729429788436,0.1830662020216289
0.025,0.95,0.4,433,359,74,0.2776988808767596,-0.06489927682419643,-0.06489927682419643
0.025,0.95,0.45,434,359,75,0.386800164860448,0.3571779768806449,0.3571779768806449
0.025,0.95,0.5,436,360,76,0.1874425433638204,0.6491371604301133,0.1874425433638204
