low_q,high_q,mid_q,adx_threshold,atr_stop_multiple,beta_window,pct_lookback,max_hold_bars,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.01,0.7,0.4,15.0,6.0,100,750,150,763,647,116,-0.17260828751812196,-0.2177093243284498,-0.2177093243284498
0.01,0.7,0.4,15.0,6.0,100,750,300,733,620,113,0.09236608192473199,-0.25611366161656246,-0.25611366161656246
0.01,0.7,0.4,15.0,6.0,100,1500,150,723,615,108,-0.3519605415381244,0.47668339526696063,-0.3519605415381244
0.01,0.7,0.4,15.0,6.0,100,1500,300,692,587,105,-0.054996854719498514,0.24910287998689154,-0.054996854719498514
0.01,0.7,0.4,15.0,6.0,100,2500,150,694,582,112,-0.3113552831473892,0.039936828687390916,-0.3113552831473892
0.01,0.7,0.4,15.0,6.0,100,2500,300,657,548,109,-0.027830424066257145,-0.5389977789892897,-0.5389977789892897
0.01,0.7,0.4,15.0,6.0,200,750,150,658,555,103,-0.1742419297158731,-0.837254057081086,-0.837254057081086
0.01,0.7,0.4,15.0,6.0,200,750,300,605,507,98,0.0913374924268713,-0.1200283153207818,-0.1200283153207818
0.01,0.7,0.4,15.0,6.0,200,1500,150,608,512,96,-0.47209072800734664,0.06027557444856196,-0.47209072800734664
0.01,0.7,0.4,15.0,6.0,200,1500,300,549,462,87,0.09186917186357392,0.003589806314518988,0.003589806314518988
0.01,0.7,0.4,15.0,6.0,200,2500,150,595,500,95,-0.6177784037748374,-0.2627147062802649,-0.6177784037748374
0.01,0.7,0.4,15.0,6.0,200,2500,300,536,448,88,-0.09771713927839713,-0.11468486133522361,-0.11468486133522361
0.01,0.7,0.4,15.0,6.0,400,750,150,634,530,104,-0.1546151751134881,-0.8837776839323968,-0.8837776839323968
0.01,0.7,0.4,15.0,6.0,400,750,300,548,460,88,0.20510465198003663,-0.5046534087795964,-0.5046534087795964
0.01,0.7,0.4,15.0,6.0,400,1500,150,581,493,88,0.38001838897355067,-0.44330428310756886,-0.44330428310756886
0.01,0.7,0.4,15.0,6.0,400,1500,300,488,413,75,0.3990593121254651,-0.03910016662649362,-0.03910016662649362
0.01,0.7,0.4,15.0,6.0,400,2500,150,552,466,86,-0.1815998898346308,-1.885158575523928,-1.885158575523928
0.01,0.7,0.4,15.0,6.0,400,2500,300,459,388,71,-0.026562300725797322,-1.1880012193198322,-1.1880012193198322
0.01,0.7,0.4,15.0,6.0,500,750,150,661,562,99,0.04459662380314021,-1.4512484743895089,-1.4512484743895089
0.01,0.7,0.4,15.0,6.0,500,750,300,555,472,83,0.0623127319661887,-0.5122858694896218,-0.5122858694896218
0.01,0.7,0.4,15.0,6.0,500,1500,150,592,503,89,0.034447416451988296,-0.8569736391570756,-0.8569736391570756
0.01,0.7,0.4,15.0,6.0,500,1500,300,491,419,72,0.22267647864850737,0.12629956626992342,0.12629956626992342
0.01,0.7,0.4,15.0,6.0,500,2500,150,543,453,90,-0.2004567160794481,-1.9066166700015044,-1.9066166700015044
0.01,0.7,0.4,15.0,6.0,500,2500,300,453,379,74,0.3704817480598105,-1.0809773866778927,-1.0809773866778927
0.01,0.7,0.4,15.0,10.0,100,750,150,737,627,110,0.17659722999448857,0.9018538982075069,0.17659722999448857
0.01,0.7,0.4,15.0,10.0,100,750,300,702,595,107,0.4200119839300819,0.8036635182974926,0.4200119839300819
0.01,0.7,0.4,15.0,10.0,100,1500,150,695,593,102,-0.011233971185814108,1.397090366406482,-0.011233971185814108
0.01,0.7,0.4,15.0,10.0,100,1500,300,655,557,98,0.2896392646983994,1.1109689883470653,0.2896392646983994
0.01,0.7,0.4,15.0,10.0,100,2500,150,666,561,105,0.045081319961828424,1.3078896600131806,0.045081319961828424
0.01,0.7,0.4,15.0,10.0,100,2500,300,621,520,101,0.36259310880900214,0.9088549305930117,0.36259310880900214
0.01,0.7,0.4,15.0,10.0,200,750,150,628,530,98,0.09695807274047397,0.004223179835783273,0.004223179835783273
0.01,0.7,0.4,15.0,10.0,200,750,300,563,471,92,0.3669808128066586,-0.05265239767563084,-0.05265239767563084
0.01,0.7,0.4,15.0,10.0,200,1500,150,578,484,94,-0.04286078493786579,1.192602337914534,-0.04286078493786579
0.01,0.7,0.4,15.0,10.0,200,1500,300,513,429,84,0.47368322134593577,0.8251310352298686,0.47368322134593577
0.01,0.7,0.4,15.0,10.0,200,2500,150,562,470,92,-0.272929865602218,0.9038860898590441,-0.272929865602218
0.01,0.7,0.4,15.0,10.0,200,2500,300,498,414,84,0.23524136022084316,1.0041251892678884,0.23524136022084316
0.01,0.7,0.4,15.0,10.0,400,750,150,600,503,97,0.06207370318928525,-1.868892575424182,-1.868892575424182
0.01,0.7,0.4,15.0,10.0,400,750,300,486,406,80,0.41003280679514464,-0.5429648294062075,-0.5429648294062075
0.01,0.7,0.4,15.0,10.0,400,1500,150,539,459,80,0.19786611124822473,0.39256461736941184,0.19786611124822473
0.01,0.7,0.4,15.0,10.0,400,1500,300,432,365,67,0.11244564735195477,0.5254301341431877,0.11244564735195477
0.01,0.7,0.4,15.0,10.0,400,2500,150,512,435,77,-0.22426647295274005,-0.054137726923060084,-0.22426647295274005
0.01,0.7,0.4,15.0,10.0,400,2500,300,396,334,62,0.04091304810236481,0.4478995778099019,0.04091304810236481
0.01,0.7,0.4,15.0,10.0,500,750,150,613,524,89,0.17356661928071013,-1.020721481081221,-1.020721481081221
0.01,0.7,0.4,15.0,10.0,500,750,300,488,415,73,0.39671481283467536,-1.0482222633244842,-1.0482222633244842
0.01,0.7,0.4,15.0,10.0,500,1500,150,548,470,78,0.09088949027211747,0.6495346952596556,0.09088949027211747
0.01,0.7,0.4,15.0,10.0,500,1500,300,437,374,63,0.4208303430681945,0.4914789621106095,0.4208303430681945
0.01,0.7,0.4,15.0,10.0,500,2500,150,503,425,78,-0.09049461580215817,0.24471688821164783,-0.09049461580215817
0.01,0.7,0.4,15.0,10.0,500,2500,300,392,328,64,0.5322783273113905,-0.08584094405040917,-0.08584094405040917
0.01,0.7,0.4,15.0,15.0,100,750,150,732,623,109,0.21122124788560737,0.7594958369903384,0.21122124788560737
0.01,0.7,0.4,15.0,15.0,100,750,300,696,590,106,0.4277427484538529,0.6754063739564945,0.4277427484538529
0.01,0.7,0.4,15.0,15.0,100,1500,150,690,589,101,0.07624470279890914,1.2599850049625936,0.07624470279890914
0.01,0.7,0.4,15.0,15.0,100,1500,300,649,552,97,0.3286167643557009,0.9626666663812705,0.3286167643557009
0.01,0.7,0.4,15.0,15.0,100,2500,150,658,554,104,0.1844002051199233,1.2773373539070865,0.1844002051199233
0.01,0.7,0.4,15.0,15.0,100,2500,300,605,506,99,0.5066515024474576,1.0070370093113674,0.5066515024474576
0.01,0.7,0.4,15.0,15.0,200,750,150,619,522,97,0.22028326741149767,-0.1421898517351527,-0.1421898517351527
0.01,0.7,0.4,15.0,15.0,200,750,300,548,457,91,0.3421381123116956,0.16834372620042898,0.16834372620042898
0.01,0.7,0.4,15.0,15.0,200,1500,150,570,477,93,0.058532310492267224,1.1261316945470035,0.058532310492267224
0.01,0.7,0.4,15.0,15.0,200,1500,300,497,414,83,0.47790866418539363,0.7943619547603126,0.47790866418539363
0.01,0.7,0.4,15.0,15.0,200,2500,150,549,459,90,-0.05112827038669193,1.0752641338446907,-0.05112827038669193
0.01,0.7,0.4,15.0,15.0,200,2500,300,480,398,82,0.29745435763230166,1.0370041900747553,0.29745435763230166
0.01,0.7,0.4,15.0,15.0,400,750,150,589,494,95,-0.049121416924002265,-1.6427260695729706,-1.6427260695729706
0.01,0.7,0.4,15.0,15.0,400,750,300,464,390,74,0.3238357892039071,-0.17339633546445007,-0.17339633546445007
0.01,0.7,0.4,15.0,15.0,400,1500,150,529,450,79,0.13117963754881026,0.5099373222006873,0.13117963754881026
0.01,0.7,0.4,15.0,15.0,400,1500,300,410,347,63,-0.039057359530007385,0.8457655712643924,-0.039057359530007385
0.01,0.7,0.4,15.0,15.0,400,2500,150,499,425,74,-0.30328763954953225,0.1373816053268431,-0.30328763954953225
0.01,0.7,0.4,15.0,15.0,400,2500,300,371,314,57,-0.14880447650989276,0.8679215647996947,-0.14880447650989276
0.01,0.7,0.4,15.0,15.0,500,750,150,599,511,88,0.27621530449367054,-1.2069308517920294,-1.2069308517920294
0.01,0.7,0.4,15.0,15.0,500,750,300,461,393,68,0.39538975343820043,-0.9354355869614094,-0.9354355869614094
0.01,0.7,0.4,15.0,15.0,500,1500,150,536,459,77,0.011860096716098877,0.38710481035741834,0.011860096716098877
0.01,0.7,0.4,15.0,15.0,500,1500,300,413,353,60,0.2188157392862968,0.4912672985393954,0.2188157392862968
0.01,0.7,0.4,15.0,15.0,500,2500,150,491,414,77,-0.005876259634098612,0.061162664605993844,-0.005876259634098612
0.01,0.7,0.4,15.0,15.0,500,2500,300,368,310,58,0.3016485532778153,0.08479494859948902,0.08479494859948902
0.01,0.7,0.4,15.0,20.0,100,750,150,732,623,109,0.1446651972680564,0.7156171744563137,0.1446651972680564
0.01,0.7,0.4,15.0,20.0,100,750,300,695,589,106,0.3987019709652109,0.6320636375711784,0.3987019709652109
0.01,0.7,0.4,15.0,20.0,100,1500,150,689,589,100,0.03732409343113706,1.2116417532299488,0.03732409343113706
0.01,0.7,0.4,15.0,20.0,100,1500,300,648,552,96,0.2924548820806322,0.8879739521394419,0.2924548820806322
0.01,0.7,0.4,15.0,20.0,100,2500,150,658,554,104,0.12754392793251226,1.212187393569964,0.12754392793251226
0.01,0.7,0.4,15.0,20.0,100,2500,300,605,506,99,0.4929713364222659,0.8979685685923359,0.4929713364222659
0.01,0.7,0.4,15.0,20.0,200,750,150,617,521,96,0.13694478288601536,0.031850554500889375,0.031850554500889375
0.01,0.7,0.4,15.0,20.0,200,750,300,542,453,89,0.2475912719317784,0.0787616229511949,0.0787616229511949
0.01,0.7,0.4,15.0,20.0,200,1500,150,567,475,92,-0.0062039988648150725,1.1108709748929937,-0.0062039988648150725
0.01,0.7,0.4,15.0,20.0,200,1500,300,488,406,82,0.5298350092040384,0.7405715582060199,0.5298350092040384
0.01,0.7,0.4,15.0,20.0,200,2500,150,546,457,89,-0.10917921445418488,1.0959122773546481,-0.10917921445418488
0.01,0.7,0.4,15.0,20.0,200,2500,300,470,390,80,0.30583198158118846,0.9336072791872239,0.30583198158118846
0.01,0.7,0.4,15.0,20.0,400,750,150,587,493,94,-0.19450405848263796,-1.8851184549006128,-1.8851184549006128
0.01,0.7,0.4,15.0,20.0,400,750,300,456,384,72,0.20141828802076792,-0.3563208874463831,-0.3563208874463831
